product_id,product_title,product_url,price_01_03
6651,Uriage - Hyseac 3 Regul Tinted SPF30 - Krem Koloryzujący do Cery Problematycznej - 40ml,https://cosibella.pl/pl/products/uriage-6651,"59,00 zł"
8597,Missha - Magic Cushion Moist Up - SPF50+/PA+++ - Podkład do Twarzy w Kompakcie - #21 Light Beige - 15g,https://cosibella.pl/pl/products/missha-8597,"45,00 zł"
8640,Ibra Makeup - Sponge Brush Cleaner - Gąbka do Czyszczenia Pędzli - 1szt,https://cosibella.pl/pl/products/ibra-makeup-8640,"15,00 zł"
8642,Ibra Makeup - Eyebrow Pomade & Powder - Blonde - 7g,https://cosibella.pl/pl/products/ibra-makeup-8642,"29,00 zł"
8643,Ibra Makeup - Eyebrow Pomade & Powder - Brown - 7g,https://cosibella.pl/pl/products/ibra-makeup-8643,"29,00 zł"
8644,Ibra Makeup - Eyebrow Pomade & Powder - Dark Chocolate - 7g,https://cosibella.pl/pl/products/ibra-makeup-8644,"29,00 zł"
8645,"Ibra Makeup - Kępki Naturals 0,10 - 10mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-8645,"11,90 zł"
8646,"Ibra Makeup - Kępki Naturals 0,10 - 12mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-8646,"11,90 zł"
8647,"Ibra Makeup - Kępki Naturals 0,10 - 8mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-8647,"11,90 zł"
8648,"Ibra Makeup - Kępki Naturals 0,10 MIX - 10,12,14mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-8648,"11,90 zł"
8649,Ibra Makeup - Lash Glue - Klej do Rzęs - Bezbarwny - 5ml,https://cosibella.pl/pl/products/ibra-makeup-8649,"28,00 zł"
8650,Ibra Makeup - Makeup Blender Mini - Gąbeczki do Makijażu Mini - 2szt.,https://cosibella.pl/pl/products/ibra-makeup-8650,"17,00 zł"
8659,Ibra Makeup - Puder Transparentny - Odcień Nr 2 - 12g,https://cosibella.pl/pl/products/ibra-makeup-8659,"39,00 zł"
8668,Ibra Makeup - Żel do Mycia Pędzli - 300ml,https://cosibella.pl/pl/products/ibra-makeup-8668,"23,00 zł"
8840,"Etude House - Dear Darling Water Tint - Tint do Ust - Strawberry Ade - 9,5g",https://cosibella.pl/pl/products/etude-house-8840,"22,00 zł"
8843,"Etude House - Dear Darling Water Tint - Tint do Ust - Orange Ade - 9,5g",https://cosibella.pl/pl/products/etude-house-8843,"22,00 zł"
9054,Ibra Makeup - Zestaw Pędzli do Makijażu Fresh - 9szt.,https://cosibella.pl/pl/products/ibra-makeup-9054,"95,00 zł"
9055,"Ibra Makeup - Kępki Double 0,07 - 10mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-9055,"14,90 zł"
9056,"Ibra Makeup - Kępki Double 0,07 - 12mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-9056,"14,90 zł"
9058,"Ibra Makeup - Kępki V Effect 0,10 - 10mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-9058,"15,00 zł"
9061,"Ibra Makeup - Kępki V Effect 0,10 - 8mm - 60szt",https://cosibella.pl/pl/products/ibra-makeup-9061,"15,00 zł"
9065,Ibra Makeup - Zalotka do Rzęs - 1szt,https://cosibella.pl/pl/products/ibra-makeup-9065,"16,00 zł"
9338,Paese - Matująca Baza pod Makijaż w Tubie - 30ml,https://cosibella.pl/pl/products/paese-9338,"41,90 zł"
9385,Paese - Witaminowy Podkład Rozświetlający Lush Satin - 32 Naturalny - 30ml,https://cosibella.pl/pl/products/paese-9385,"56,90 zł"
9391,Paese - Puder Hi Rice - 10 Light Beige - 10g,https://cosibella.pl/pl/products/paese-9391,"30,00 zł"
9393,"Paese - Puder pod Oczy Puff Cloud - 5,3g",https://cosibella.pl/pl/products/paese-9393,"37,00 zł"
9395,Paese - Puder Rozświetlająco-Kryjący - 3C Złoty Beż - 9g,https://cosibella.pl/pl/products/paese-9395,"40,00 zł"
9397,Paese - Sypki Puder Bambusowy - 5g,https://cosibella.pl/pl/products/paese-9397,"32,90 zł"
9409,Paese - Kryjący Korektor Run for Cover - 30 Beige - 9ml,https://cosibella.pl/pl/products/paese-9409,"29,90 zł"
9412,"Paese - Pudrowa Kredka do Brwi - Honey Blond - 1,19g",https://cosibella.pl/pl/products/paese-9412,"33,00 zł"
9413,"Paese - Pudrowa Kredka do Brwi - Soft Brown - 1,19g",https://cosibella.pl/pl/products/paese-9413,"39,90 zł"
9434,"Paese - Kredka do Oczu Soft Eye Pencil - Jet Black - 1,5g",https://cosibella.pl/pl/products/paese-9434,"30,00 zł"
9435,"Paese - Kredka do Oczu Soft Eye Pencil - Cool Grey - 1,5g",https://cosibella.pl/pl/products/paese-9435,"30,00 zł"
9436,"Paese - Kredka do Oczu Soft Eye Pencil - Dark Chocolate - 1,5g",https://cosibella.pl/pl/products/paese-9436,"30,00 zł"
9438,"Paese - Kredka do Oczu Soft Eye Pencil - Green Sea - 1,5g",https://cosibella.pl/pl/products/paese-9438,"30,00 zł"
9441,Paese - Podkład Long Cover Fluid - 01 Light Beige - 30ml,https://cosibella.pl/pl/products/paese-9441,"49,00 zł"
9579,Ibra Makeup - Makeup Blender - Zestaw Gąbeczek - Trio Black - 3szt,https://cosibella.pl/pl/products/ibra-makeup-9579,"50,00 zł"
9580,Ibra Makeup - Makeup Blender - Zestaw Gąbeczek - Trio Marmurkowe - 3szt,https://cosibella.pl/pl/products/ibra-makeup-9580,"50,00 zł"
9582,Ibra Makeup - Makeup Blender - Zestaw Gąbeczek - Trio Pink - 3szt,https://cosibella.pl/pl/products/ibra-makeup-9582,"50,00 zł"
9980,A'pieu - Juicy-Pang Water Blusher - Róż do Policzków w Płynie - PK01 - 9g,https://cosibella.pl/pl/products/apieu-9980,"36,00 zł"
10237,Heimish - Artless Rubycell Puff - 5 szt,https://cosibella.pl/pl/products/heimish-10237,"34,00 zł"
10251,Ibra Makeup - Fresh Pędzel do Różu i Rozświetlacza - Nr 6 - 1szt,https://cosibella.pl/pl/products/ibra-makeup-10251,"16,00 zł"
10252,Ibra Makeup - Fresh Pędzel do Konturowania - Nr 7 - 1szt,https://cosibella.pl/pl/products/ibra-makeup-10252,"19,00 zł"
10255,Ibra Makeup - Szczoteczki do Rzęs - 10szt.,https://cosibella.pl/pl/products/ibra-makeup-10255,"6,00 zł"
10256,Ibra Makeup - Szczoteczki do Rzęs - 50szt.,https://cosibella.pl/pl/products/ibra-makeup-10256,"18,00 zł"
10257,Ibra Makeup - Szczoteczki do Rzęs Silikonowe - 10szt.,https://cosibella.pl/pl/products/ibra-makeup-10257,"8,00 zł"
10549,Paese - Eyegasm - Wegański Tusz do Rzęs z Odżywką - 8ml,https://cosibella.pl/pl/products/paese-10549,"49,90 zł"
10602,"Paese - Self Glow - Rozświetlacz - 6,5g",https://cosibella.pl/pl/products/paese-10602,"51,90 zł"
11187,Etude House - Dear Darling Water Gel - Wodnisto-Żelowy Tint do Ust - #PK002 Plum Red - 5g,https://cosibella.pl/pl/products/etude-house-11187,"26,00 zł"
